차종,판매 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도,Overseas Plants,차량 구분
Custo (KU),내수,748,423.0,891.0,482.0,1047.0,905.0,635.0,851.0,1112.0,1273.0,800.0,1443.0,2024,BHMC,
Mufasa (NU2),내수,2595,2012.0,3779.0,624.0,908.0,991.0,387.0,324.0,628.0,780.0,466.0,1758.0,2024,BHMC,
La festa (SQ),내수,52,10.0,326.0,604.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2024,BHMC,
Verna (YC),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,BHMC,
Celesta (ID),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,BHMC,
Mistra (DU2),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,BHMC,
Tucson (NX4c),내수,3567,2741.0,2740.0,897.0,1791.0,1750.0,1053.0,1625.0,1837.0,866.0,2082.0,1359.0,2024,BHMC,
Tucson HEV (NX4c HEV),내수,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,2024,BHMC,
ix35 (NU),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,BHMC,
Santa Fe (MX5c),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,810.0,342.0,271.0,258.0,2024,BHMC,
Santa Fe (TMc),내수,60,20.0,59.0,55.0,37.0,7.0,3.0,110.0,0.0,60.0,0.0,167.0,2024,BHMC,
BHMC,수출,171,0.0,437.0,2644.0,3617.0,3113.0,2517.0,6007.0,6394.0,4733.0,9349.0,5656.0,2024,BHMC,
Elantra (CN7a),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMA,
Sonata (DN8a),내수,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMA,
Tucson (NX4a),내수,15840,11553.0,12313.0,11016.0,6689.0,12834.0,7944.0,14515.0,11447.0,14717.0,12167.0,10065.0,2024,HMMA,
Tucson OB (NX4a OB),내수,4644,3729.0,2786.0,3196.0,3427.0,2193.0,1078.0,2262.0,2484.0,2406.0,1741.0,1693.0,2024,HMMA,
Santa-Fe (TMa),내수,1895,35.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMA,
Santa-Fe HEV (TMa HEV),내수,741,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMA,
Santa-Fe (MX5a),내수,1935,8882.0,11326.0,10577.0,10474.0,8263.0,6780.0,9518.0,7769.0,10053.0,8141.0,7784.0,2024,HMMA,
Santa-Fe (MX5a HEV),내수,0,0.0,40.0,4044.0,4278.0,4160.0,3323.0,3979.0,4067.0,5244.0,3859.0,3487.0,2024,HMMA,
GV70 (JKa),내수,3281,1565.0,625.0,3120.0,2325.0,915.0,1357.0,1777.0,1739.0,1773.0,1659.0,1262.0,2024,HMMA,
GV70 EV (Jka EV),내수,204,180.0,192.0,184.0,190.0,370.0,354.0,331.0,168.0,169.0,177.0,129.0,2024,HMMA,
Elantra(CN7a),수출,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,HMMA,
