통계표,코드(계정항목),계정항목,코드(측정항목),측정항목,단위,변환,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
3.1.2.1. 주요국 통화의 대원화환율,45,원/폴란트즈워티,200,말일자료,원 ,원자료,331.72,334.79,337.35,342.44,348.3,344.82,349.02,345.32,344.83,344.98,341.79,357.33,354.26,359.47
3.1.2.1. 주요국 통화의 대원화환율,46,원/체코코루나,100,평균자료,원 ,원자료,58.43,57.01,57.21,58.03,59.49,59.97,59.33,59.21,59.07,58.56,58.6,59.79,59.75,60.03
3.1.2.1. 주요국 통화의 대원화환율,46,원/체코코루나,200,말일자료,원 ,원자료,58.24,57.16,57.45,58.78,60.29,59.36,58.92,59.03,58.64,59.21,58.25,60.68,59.25,59.9
3.1.2.1. 주요국 통화의 대원화환율,20,원/사우디아라비아리얄,100,평균자료,원 ,원자료,352.92,355.11,354.81,364.68,364.05,367.93,368.79,360.87,355.74,362.43,371.01,381.83,387.85,385.44
3.1.2.1. 주요국 통화의 대원화환율,20,원/사우디아라비아리얄,200,말일자료,원 ,원자료,354.82,355.67,359.1,367.59,367,370.4,369.07,355.84,351.79,368.32,371.26,391.43,382.1,383.85
3.1.2.1. 주요국 통화의 대원화환율,47,원/카타르리얄,100,평균자료,원 ,원자료,363.11,365.22,364.71,375.04,374.53,378.55,379.38,371.37,366.18,373.31,382.2,393.46,399.32,396.54
3.1.2.1. 주요국 통화의 대원화환율,47,원/카타르리얄,200,말일자료,원 ,원자료,365,365.83,369.29,378.04,377.63,381.05,379.7,366.34,362.03,379.4,382.61,403.24,393.14,395.01
3.1.2.1. 주요국 통화의 대원화환율,48,원/이스라엘셰켈,100,평균자료,원 ,원자료,356.68,365.53,366.56,364.53,369.12,370.55,376.01,362.8,357.94,361.88,374.41,396.31,402.37,405.37
3.1.2.1. 주요국 통화의 대원화환율,48,원/이스라엘셰켈,200,말일자료,원 ,원자료,363.72,371.23,366.99,366.98,371.58,369.75,369.7,364.73,356.99,373.32,381.63,401.91,400.08,402.43
3.1.2.1. 주요국 통화의 대원화환율,49,원/요르단디나르,100,평균자료,원 ,원자료,1865.65,1877.61,1876.92,1929.42,1925.85,1946.65,1951.36,1910.2,1882.68,1919.64,1964.63,2022.19,2051.16,2037.06
3.1.2.1. 주요국 통화의 대원화환율,49,원/요르단디나르,200,말일자료,원 ,원자료,1875.8,1881.26,1899.58,1944.57,1941.47,1959.38,1952.89,1883.36,1861.21,1949.68,1965.06,2072.17,2020.16,2028.32
3.1.2.1. 주요국 통화의 대원화환율,21,원/쿠웨이트디나르,100,평균자료,원 ,원자료,4303.18,4326.02,4327.96,4442.43,4444.35,4500.32,4521.99,4431.06,4372.72,4440.45,4535.08,4661.02,4719.68,4683.35
3.1.2.1. 주요국 통화의 대원화환율,21,원/쿠웨이트디나르,200,말일자료,원 ,원자료,4324.9,4336.24,4377.28,4478.04,4486.64,4528.33,4531.8,4372.01,4324.86,4511.74,4536.35,4770.56,4644.98,4663.43
3.1.2.1. 주요국 통화의 대원화환율,22,원/바레인디나르,100,평균자료,원 ,원자료,3510.86,3532.72,3531.59,3628.39,3621.77,3661.7,3669.58,3593.12,3542.69,3609.78,3696.21,3803.18,3861.69,3835.07
3.1.2.1. 주요국 통화의 대원화환율,22,원/바레인디나르,200,말일자료,원 ,원자료,3529.07,3541.28,3572.32,3657.13,3651.29,3689.77,3672.78,3546.61,3500.36,3668.74,3699.57,3896.62,3801.96,3819.58
3.1.2.1. 주요국 통화의 대원화환율,23,원/아랍에미리트디르함,100,평균자료,원 ,원자료,360.36,362.58,362.32,372.44,371.74,375.75,376.63,368.68,363.42,370.54,379.36,390.53,396.35,393.57
3.1.2.1. 주요국 통화의 대원화환율,23,원/아랍에미리트디르함,200,말일자료,원 ,원자료,362.28,363.2,366.76,375.36,374.76,378.22,376.97,363.56,359.27,376.61,379.72,400.22,390.24,391.97
3.1.2.1. 주요국 통화의 대원화환율,50,원/튀르키예리라,100,평균자료,원 ,원자료,44.01,43.23,41.47,42.25,42.33,42.34,42.04,40.19,39.18,39.73,40.45,41,41.01,39.94
3.1.2.1. 주요국 통화의 대원화환율,50,원/튀르키예리라,200,말일자료,원 ,원자료,43.82,42.73,41.57,42.51,42.68,42.23,41.82,39.17,38.61,40.35,40.22,41.61,39.98,39.41
3.1.2.1. 주요국 통화의 대원화환율,51,원/남아프리카공화국랜드,100,평균자료,원 ,원자료,70.45,70.12,70.59,72.34,74.27,75.01,75.83,74.99,75.75,77.36,77.79,78.86,77.64,78.16
3.1.2.1. 주요국 통화의 대원화환율,51,원/남아프리카공화국랜드,200,말일자료,원 ,원자료,70.82,69.25,71.15,73.97,73.48,75.26,75.62,75.25,77.1,78.34,76.99,78.2,77.09,77.98
3.1.2.1. 주요국 통화의 대원화환율,52,원/이집트파운드,100,평균자료,원 ,원자료,42.84,43.09,30.11,28.62,28.9,28.91,28.72,27.68,27.53,28.01,28.22,28.39,28.83,28.63
3.1.2.1. 주요국 통화의 대원화환율,52,원/이집트파운드,200,말일자료,원 ,원자료,43.01,43.12,28.41,28.81,29.13,28.92,28.58,27.46,27.26,28.38,28.12,28.91,28.53,28.42
